nome_area,totale,categoria_over80
Valle d'Aosta / Vallée d'Aoste,64,26
Veneto,14565,8919
Provincia Autonoma Trento,1666,0
Calabria,1916,0
Campania,10456,0
Molise,169,0
Provincia Autonoma Trento,663,563
Provincia Autonoma Bolzano / Bozen,387,0
Valle d'Aosta / Vallée d'Aoste,213,46
Molise,613,0
Abruzzo,4951,1519
Sardegna,368,0
Calabria,958,0
Piemonte,5385,0
Calabria,2543,802
Veneto,5175,19
Provincia Autonoma Bolzano / Bozen,1564,154
Puglia,12457,7877
Abruzzo,4629,1587
Molise,832,116
Lombardia,27286,194
Emilia-Romagna,8326,0
Liguria,2652,0
Umbria,1503,1249
Calabria,2147,0
Puglia,10009,6359
Sardegna,1406,0
Campania,10052,0
Umbria,843,0
Abruzzo,5262,2582
Emilia-Romagna,12035,10687
Lombardia,29495,11312
Toscana,10559,1847
Provincia Autonoma Trento,1582,58
Marche,7593,4590
Emilia-Romagna,1827,0
Molise,359,0
Sardegna,700,0
Provincia Autonoma Bolzano / Bozen,910,0
Provincia Autonoma Bolzano / Bozen,529,512
Marche,1500,0
Marche,896,0
Umbria,3985,2564
Sicilia,10169,5677
Basilicata,1045,803
Provincia Autonoma Trento,1010,552
Basilicata,1849,689
Umbria,4260,1121
Valle d'Aosta / Vallée d'Aoste,291,160
Friuli-Venezia Giulia,1962,0
Umbria,1307,1262
Valle d'Aosta / Vallée d'Aoste,337,0
Calabria,6480,3562
Provincia Autonoma Trento,867,77
Veneto,9001,3
Abruzzo,3896,3297
Basilicata,640,0
Marche,225,0
Liguria,1660,64
Liguria,648,0
Veneto,11965,3372
Puglia,3722,4
Marche,6832,3227
Calabria,1843,653
Veneto,37743,18373
Calabria,656,0
Friuli-Venezia Giulia,1272,0
Valle d'Aosta / Vallée d'Aoste,294,53
Abruzzo,845,0
Toscana,3254,0
Marche,5877,4248
Liguria,2665,0
Sardegna,6005,2981
Piemonte,9451,1
Abruzzo,4545,3875
Lazio,7777,3916
Veneto,16409,8543
Campania,9556,4455
Toscana,4641,17
Piemonte,14723,7977
Abruzzo,1707,79
Provincia Autonoma Bolzano / Bozen,1682,367
Basilicata,1650,877
Molise,474,0
Basilicata,793,0
Marche,6657,4307
Puglia,17012,5231
Lombardia,12599,5
Puglia,5526,3
Sicilia,21032,5825
Toscana,1104,0
Valle d'Aosta / Vallée d'Aoste,205,14
Sardegna,4367,1012
Piemonte,3829,30
Abruzzo,264,0
Umbria,282,152
Campania,919,0
Campania,19454,7621
Sicilia,4112,0
Sardegna,60,0
Abruzzo,908,0
Basilicata,1450,410
Provincia Autonoma Trento,351,0
Friuli-Venezia Giulia,3422,1523
Toscana,5505,0
Molise,539,0
Abruzzo,1681,0
Lazio,12636,5149
Sardegna,5149,2271
Lombardia,12211,75
Lombardia,41304,26667
Puglia,11673,7633
Piemonte,17668,11479
Emilia-Romagna,4786,10
Marche,557,0
Lazio,7605,125
Friuli-Venezia Giulia,1217,0
Puglia,4063,0
Molise,1438,698
Liguria,2761,1030
Basilicata,547,90
Piemonte,4151,1
Piemonte,6162,0
Abruzzo,157,0
Veneto,5986,3
Veneto,11971,4565
Valle d'Aosta / Vallée d'Aoste,443,0
Liguria,6000,3363
Abruzzo,2417,877
Provincia Autonoma Bolzano / Bozen,3192,1088
Marche,377,0
Umbria,396,0
Liguria,11309,3611
Piemonte,3061,0
Sicilia,8825,4281
Umbria,660,154
Lombardia,24,0
Lazio,20681,6392
Veneto,19511,9335
Veneto,8359,0
Piemonte,5562,0
Valle d'Aosta / Vallée d'Aoste,386,251
Umbria,809,0
Calabria,2341,0
Liguria,1278,0
Valle d'Aosta / Vallée d'Aoste,292,105
Provincia Autonoma Trento,1108,751
Liguria,642,221
Valle d'Aosta / Vallée d'Aoste,18,0
Sardegna,2797,203
Lazio,4391,286
Campania,14245,6592
Provincia Autonoma Bolzano / Bozen,2626,1544
Marche,453,0
Basilicata,1286,943
Molise,1630,707
Basilicata,1395,343
Marche,5895,4240
Toscana,6344,65
Emilia-Romagna,9323,0
Valle d'Aosta / Vallée d'Aoste,361,215
Liguria,144,0
Emilia-Romagna,6414,0
Campania,5112,1378
Piemonte,7754,0
Lombardia,25394,17653
Basilicata,373,0
Valle d'Aosta / Vallée d'Aoste,489,204
Marche,973,0
Veneto,7929,3
Provincia Autonoma Trento,1318,974
Marche,2460,0
Sardegna,1336,0
Veneto,4624,417
Emilia-Romagna,9909,118
Basilicata,1350,383
Sicilia,9279,3396
Sicilia,5079,0
Basilicata,67,1
Lombardia,40967,23148
Abruzzo,2784,1436
Umbria,850,0
Veneto,15126,4141
Provincia Autonoma Trento,1397,1012
Friuli-Venezia Giulia,312,0
Friuli-Venezia Giulia,2613,0
Veneto,12736,3406
Marche,2342,0
Basilicata,791,184
Puglia,12124,834
Sardegna,1959,0
Provincia Autonoma Bolzano / Bozen,2077,919
Lombardia,29140,10800
Puglia,3749,0
Molise,421,0
Basilicata,951,471
Toscana,1649,0
Abruzzo,6119,4235
Piemonte,6761,0
Valle d'Aosta / Vallée d'Aoste,150,0
Marche,8878,1865
Lombardia,8279,36
Campania,4072,0
Emilia-Romagna,5187,186
Puglia,1548,0
Sicilia,4086,0
Sardegna,8326,3581
Sicilia,9173,0
Puglia,2947,0
Puglia,2171,32
Puglia,2510,0
Puglia,4332,0
Valle d'Aosta / Vallée d'Aoste,299,0
Basilicata,217,0
Sicilia,4414,25
Liguria,3803,2727
Calabria,929,0
Provincia Autonoma Bolzano / Bozen,1176,134
Sicilia,4872,0
Umbria,1618,1240
Molise,450,0
Provincia Autonoma Bolzano / Bozen,59,0
Valle d'Aosta / Vallée d'Aoste,142,0
Friuli-Venezia Giulia,751,0
Emilia-Romagna,6544,2564
Sicilia,9362,0
Liguria,10357,3906
Basilicata,703,0
Campania,1095,0
Piemonte,10078,0
Abruzzo,1536,0
Umbria,54,0
Calabria,7352,2362
Liguria,1928,0
Campania,17573,8933
Friuli-Venezia Giulia,1680,0
Toscana,8302,154
Sicilia,15607,5357
Lazio,12894,5171
Lombardia,199,0
Piemonte,16763,12097
Emilia-Romagna,15869,8221
Lazio,8810,4249
Molise,150,0
Calabria,5207,1869
Emilia-Romagna,2445,0
Campania,8833,0
Liguria,2459,0
Basilicata,900,0
Sicilia,1235,0
Provincia Autonoma Trento,926,581
Sardegna,3492,781
Lazio,6494,3774
Calabria,1350,0
Lombardia,35960,15082
Provincia Autonoma Trento,405,0
Molise,114,0
Lombardia,19825,76
Veneto,4013,9
Lazio,7761,122
Lombardia,5578,59
Emilia-Romagna,11664,5310
Puglia,4729,2
Umbria,1734,192
Calabria,7638,2382
Umbria,780,0
Veneto,12530,7600
Liguria,1961,0
Sardegna,5904,2815
Campania,3369,0
Friuli-Venezia Giulia,2322,0
Toscana,4221,1
Provincia Autonoma Bolzano / Bozen,1393,852
Molise,1642,572
Provincia Autonoma Bolzano / Bozen,3965,1968
Provincia Autonoma Bolzano / Bozen,243,3
Marche,5532,2588
Liguria,3537,1516
Abruzzo,777,0
Provincia Autonoma Bolzano / Bozen,2885,1291
Molise,50,0
Piemonte,10185,0
Umbria,725,0
Calabria,3131,1674
